Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
2024-04-21 14:18:08.442755,5,0,0,0
2024-04-21 14:18:08.651646,5,0,0,0
2024-04-21 14:18:08.899076,5,0,0,0
2024-04-21 14:18:09.124157,5,0,0,0
2024-04-21 14:18:09.344598,5,0,0,0
2024-04-21 14:18:09.546032,5,0,0,0
2024-04-21 14:18:09.761662,5,0,0,0
2024-04-21 14:18:09.944854,5,0,0,0
2024-04-21 14:18:10.123825,5,0,0,0
2024-04-21 14:18:10.339501,5,0,0,0
2024-04-21 14:18:10.523085,5,0,0,0
2024-04-21 14:18:10.724424,4,0,0,0
2024-04-21 14:18:10.911706,4,0,0,0
2024-04-21 14:18:11.112844,4,0,0,0
2024-04-21 14:18:11.289572,4,0,0,0
2024-04-21 14:18:11.505385,4,0,0,0
2024-04-21 14:18:11.702453,4,0,0,0
2024-04-21 14:18:11.907385,4,0,0,0
2024-04-21 14:18:12.108255,4,0,0,0
2024-04-21 14:18:12.308085,4,0,0,0
2024-04-21 14:18:12.515664,4,0,0,0
2024-04-21 14:18:12.703805,4,0,0,0
2024-04-21 14:18:12.891543,4,0,0,0
2024-04-21 14:18:13.090250,4,0,0,0
2024-04-21 14:18:13.297645,4,0,0,0
2024-04-21 14:18:13.495769,4,0,0,0
2024-04-21 14:18:13.716031,4,0,0,0
2024-04-21 14:18:13.911618,4,0,0,0
2024-04-21 14:18:14.097844,4,0,0,0
2024-04-21 14:18:14.288533,4,0,0,0
2024-04-21 14:18:14.470627,4,0,0,0
2024-04-21 14:18:14.666838,4,0,0,0
2024-04-21 14:18:14.856199,4,0,0,0
2024-04-21 14:18:15.040178,4,0,0,0
2024-04-21 14:18:15.237561,4,0,0,0
2024-04-21 14:18:15.437169,4,0,0,0
2024-04-21 14:18:15.647830,4,0,0,0
2024-04-21 14:18:15.844278,4,0,0,0
2024-04-21 14:18:16.061140,4,0,0,0
2024-04-21 14:18:16.247589,4,0,0,0
2024-04-21 14:18:16.445999,4,0,0,0
2024-04-21 14:18:16.638436,4,0,0,0
2024-04-21 14:18:16.837261,4,0,0,0
2024-04-21 14:18:17.042748,4,0,0,0
2024-04-21 14:18:17.257673,4,0,0,1
2024-04-21 14:18:17.482398,4,0,0,0
2024-04-21 14:18:17.763488,4,0,0,0
2024-04-21 14:18:17.963089,5,0,0,0
2024-04-21 14:18:18.206742,5,0,0,0
2024-04-21 14:18:18.467612,5,0,0,0
2024-04-21 14:18:18.699254,5,0,0,0
2024-04-21 14:18:18.902490,5,0,0,0
2024-04-21 14:18:19.143904,5,0,0,0
2024-04-21 14:18:19.375611,5,0,0,0
2024-04-21 14:18:19.585068,5,0,0,0
2024-04-21 14:18:19.830028,5,0,0,0
2024-04-21 14:18:20.030482,5,0,0,0
2024-04-21 14:18:20.329882,5,0,0,0
2024-04-21 14:18:20.600289,4,0,0,1
2024-04-21 14:18:20.863710,5,0,0,0
2024-04-21 14:18:21.070753,4,0,0,0
2024-04-21 14:18:21.333539,4,0,0,0
2024-04-21 14:18:21.533855,4,0,0,0
2024-04-21 14:18:21.796095,4,0,0,0
2024-04-21 14:18:21.972846,4,0,0,0
2024-04-21 14:18:22.164400,4,0,0,0
2024-04-21 14:18:22.341190,4,0,0,0
2024-04-21 14:18:22.527239,4,0,0,0
2024-04-21 14:18:22.706790,4,0,0,0
2024-04-21 14:18:22.914909,3,0,0,1
2024-04-21 14:18:23.087291,3,0,0,0
2024-04-21 14:18:23.273326,3,0,0,0
2024-04-21 14:18:23.461453,3,0,0,1
2024-04-21 14:18:23.645180,3,0,0,0
2024-04-21 14:18:23.833695,3,0,0,0
2024-04-21 14:18:24.032403,3,0,0,1
2024-04-21 14:18:24.222868,3,0,0,1
2024-04-21 14:18:24.449764,4,0,0,0
2024-04-21 14:18:24.700882,5,0,0,0
2024-04-21 14:18:24.927283,5,0,0,0
2024-04-21 14:18:25.157714,5,0,0,0
2024-04-21 14:18:25.385012,5,0,0,0
2024-04-21 14:18:25.588252,5,0,0,0
2024-04-21 14:18:25.813196,5,0,0,0
2024-04-21 14:18:26.018000,5,0,0,0
2024-04-21 14:18:26.235729,5,0,0,0
2024-04-21 14:18:26.442761,5,0,0,0
2024-04-21 14:18:26.686477,5,0,0,0
2024-04-21 14:18:26.923173,6,0,0,0
2024-04-21 14:18:27.148499,6,0,0,0
2024-04-21 14:18:27.380662,6,0,0,0
2024-04-21 14:18:27.621456,6,0,0,0
